n:243, states: 0.0000001.000000
n:244, states: 0.0000001.000000
n:245, states: 0.0000001.000000
n:246, states: 0.0000020.999998
n:247, states: 0.0000001.000000
n:248, states: 0.0001200.999880
n:249, states: 0.0000001.000000
n:250, states: 0.0000001.000000
n:251, states: 0.0000650.999935
n:252, states: 0.0000020.999998
n:253, states: 0.0016350.998365
n:254, states: 0.0000860.999914
n:255, states: 0.0001100.999890
n:256, states: 0.0000001.000000
n:257, states: 0.0000330.999967
n:258, states: 0.0000930.999907
n:259, states: 0.0000610.999939
n:260, states: 0.0000020.999998
n:261, states: 0.1920000.808000
n:263, states: 0.0000140.999986
n:264, states: 0.0034500.996550
n:265, states: 0.0000170.999983
n:266, states: 0.0000060.999994
n:267, states: 0.0004670.999533
n:268, states: 0.0000001.000000
n:269, states: 0.0000030.999997
n:270, states: 0.0000001.000000
n:271, states: 0.0000020.999998
n:272, states: 0.0000001.000000
n:273, states: 0.0000050.999995
n:274, states: 0.0000010.999999
n:275, states: 0.0000010.999999
n:276, states: 0.0000930.999907
n:278, states: 0.0001250.999875
n:279, states: 0.0000030.999997
n:280, states: 0.0000001.000000
n:281, states: 0.0000950.999905
n:282, states: 0.0000050.999995
n:283, states: 0.0000010.999999
n:284, states: 0.0000190.999981
n:285, states: 0.0140160.985984
n:286, states: 0.0001400.999860
n:287, states: 0.0000890.999911
n:288, states: 0.0001840.999816
n:289, states: 0.0000340.999966
n:290, states: 0.0001000.999900
n:291, states: 0.0000010.999999
n:292, states: 0.0000070.999993
n:294, states: 0.0000070.999993
n:295, states: 0.0000960.999904
n:296, states: 0.0000040.999996
n:297, states: 0.0000001.000000
n:299, states: 0.0014690.998531
n:300, states: 0.0000001.000000
n:301, states: 0.0048000.995200
n:302, states: 0.0000001.000000
n:303, states: 0.0001400.999860
n:304, states: 0.0113070.988693
n:305, states: 0.0000001.000000
n:306, states: 0.0070080.992992
n:307, states: 0.0030370.996963
n:308, states: 0.0003900.999610
n:309, states: 0.0004000.999600
n:311, states: 0.0003740.999626
n:312, states: 0.0000020.999998
n:313, states: 0.0017750.998225
n:314, states: 0.0000350.999965
n:315, states: 0.0000800.999920
n:317, states: 0.0000010.999999
n:318, states: 0.0000020.999998
n:319, states: 0.0000020.999998
n:320, states: 0.0000020.999998
n:321, states: 0.0000010.999999
n:322, states: 0.0000010.999999
n:323, states: 0.0000020.999998
n:324, states: 0.0000090.999991
n:326, states: 0.0000001.000000
n:327, states: 0.0014390.998561
n:328, states: 0.0000050.999995
n:329, states: 0.0000120.999988
n:330, states: 0.0000090.999991
n:331, states: 0.0109330.989067
n:332, states: 0.0000160.999984
n:333, states: 0.0000050.999995
